85,1,0.101872
85,1,0.101799
85,1,0.105553
85,2,0.051206
85,2,0.051179
85,2,0.051277
85,4,0.025839
85,4,0.025827
85,4,0.026000
85,8,0.013221
85,8,0.013182
85,8,0.013443
85,16,0.007144
85,16,0.007199
85,16,0.007178
85,24,0.005668
85,24,0.005563
85,24,0.011781
85,32,0.004662
85,32,0.004746
85,32,0.004808
1150,1,17.873099
1150,1,17.883305
1150,1,17.898959
1150,2,9.008205
1150,2,9.000089
1150,2,9.000884
1150,4,4.518922
1150,4,4.521743
1150,4,4.524577
1150,8,2.271267
1150,8,2.273876
1150,8,2.285263
1150,16,1.167085
1150,16,1.168390
1150,16,1.176481
1150,24,0.805230
1150,24,0.801447
1150,24,0.813141
1150,32,0.616630
1150,32,0.617236
1150,32,0.618715
