85,1,0.103587
85,1,0.101815
85,1,0.101854
85,2,0.051215
85,2,0.051223
85,2,0.051204
85,4,0.025832
85,4,0.025878
85,4,0.025903
85,8,0.013209
85,8,0.013230
85,8,0.013258
85,16,0.007174
85,16,0.007168
85,16,0.007089
85,24,0.005487
85,24,0.005403
85,24,0.005655
85,32,0.016061
85,32,0.017260
85,32,0.013677
1150,1,17.875728
1150,1,17.912733
1150,1,17.947427
1150,2,9.007400
1150,2,9.069431
1150,2,9.010318
1150,4,4.521451
1150,4,4.517372
1150,4,4.558929
1150,8,2.289451
1150,8,2.270220
1150,8,2.271639
1150,16,1.165156
1150,16,1.166483
1150,16,1.164689
1150,24,0.801771
1150,24,0.804889
1150,24,0.799469
1150,32,0.620373
1150,32,0.618405
1150,32,0.617084
